Sat 17 Aug 21:36:12 CEST 2024 - Drone flight started.
Sat 17 Aug 21:36:12 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 21:36:31 CEST 2024 - Drone flight started.
Sat 17 Aug 21:36:31 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:10:03 CEST 2024 - Drone flight started.
Sat 17 Aug 22:10:03 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:10:34 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:11:04 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:11:34 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:12:04 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:12:34 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:13:04 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:13:34 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:14:04 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:14:34 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:15:04 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:15:34 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:16:04 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:16:34 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:17:04 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:17:34 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:18:04 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:18:34 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:19:04 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:19:34 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:20:04 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:20:34 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:21:04 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:21:34 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:22:04 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:22:34 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:23:04 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:23:34 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:24:04 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:24:34 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:25:04 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:25:34 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:26:04 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:26:34 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:27:04 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:27:34 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:28:04 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:28:34 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:29:04 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:29:34 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:30:04 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:30:34 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:31:04 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:31:34 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:32:04 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:32:34 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:33:05 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:33:35 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:34:05 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:34:35 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:35:05 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:35:35 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:36:05 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:36:35 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:37:05 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:37:35 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:38:05 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:38:35 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:39:05 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:39:35 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:40:05 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:40:35 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:41:05 CEST 2024 - Camera SSID not found, scanning again...
Sat 17 Aug 22:41:35 CEST 2024 - Camera SSID not found, scanning again...
